@relation data__with_tab

@attribute Volt_X numeric
@attribute Curr_X numeric
@attribute Tem_X numeric
@attribute Lim_X numeric
@attribute Volt_Y numeric
@attribute Curr_Y numeric
@attribute Tem_Y numeric
@attribute Lim_Y numeric
@attribute Volt_Z numeric
@attribute Curr_Z numeric
@attribute Tem_Z numeric
@attribute Lim_Z numeric
@attribute Volt_Spdle numeric
@attribute Curr_Spdle numeric
@attribute Tem_Spdle numeric
@attribute Duty_Cycl_Spdle numeric
@attribute X_Over_Curr numeric
@attribute Y_Over_Curr numeric
@attribute Z_Over_Curr numeric
@attribute Spdle_Over_Curr numeric
@attribute X_Short_Cir numeric
@attribute Y_Short_Cir numeric
@attribute Z_Short_Cir numeric
@attribute Spdle_Short_Cir numeric
@attribute X_Lim_Fault numeric
@attribute Y_Lim_Fault numeric
@attribute Z_Lim_Fault numeric
@attribute Fault numeric

@data
17.8,0.93,27,0,17.73,1.01,27,0,17.62,2.62,28.5,0,11.7,1.24,40,95,0,0,1,0,0,0,0,0,0,0,0,1
17.7,1.39,27,0,17.63,2.45,27,0,17.72,1.49,28.5,0,11.7,1.29,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.9,1.05,27,0,17.68,2.42,27,0,17.62,1.42,28.5,0,11.7,1.25,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.97,1,27,0,17.62,2.93,27,0,17.79,0.92,28.5,0,11.69,1.23,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.81,0.99,27,0,17.62,2.7,27,0,17.66,1.25,28.5,0,11.69,1.24,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.74,1.6,27,0,17.69,2.41,27,0,17.88,1.1,28.5,0,11.7,1.25,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.62,1.68,27,0,17.63,2.41,27,0,17.65,1.49,28.5,0,11.66,1.24,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.64,0.91,27,0,17.62,2.73,27,0,17.72,0.91,28.5,0,11.69,1.25,40,95,0,1,0,0,0,0,0,0,0,0,0,1
18.01,1.7,27,0,17.78,2.41,27,0,17.71,0.94,28.5,0,11.69,1.25,40,95,0,1,0,0,0,0,0,0,0,0,0,1
18,1.16,27,0,17.64,2.43,27,0,17.84,1.45,28.5,0,11.69,1.25,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.96,0.93,27,0,17.72,2.43,27,0,17.67,1.02,28.5,0,11.69,1.26,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.67,1.14,27,0,17.63,2.59,27,0,18.03,0.96,28.5,0,11.7,1.22,40,95,0,1,0,0,0,0,0,0,0,0,0,1
18.23,0.91,27,0,17.62,2.67,27,0,18.36,1.02,28.5,0,11.7,1.27,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.67,0.96,27,0,17.83,2.44,27,0,17.88,0.94,28.5,0,11.7,1.2,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.66,0.92,27,0,18.33,2.42,27,0,17.7,1.05,28.5,0,11.69,1.24,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.63,0.94,27,0,17.94,3.18,27,0,18.36,1.09,28.5,0,11.7,1.27,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.71,0.94,27,0,17.64,2.5,27,0,18.39,0.92,28.5,0,11.7,1.24,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.71,0.97,27,0,18.3,2.7,27.5,0,17.78,0.95,28.5,0,11.7,1.25,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.67,1.07,27,0,17.66,2.75,27.5,0,17.82,1,28.5,0,11.7,1.27,40,95,0,1,0,0,0,0,0,0,0,0,0,1
17.76,0.94,27,0,17.7,2.43,27.5,0,17.73,0.96,28.5,0,11.7,1.25,40,95,0,1,0,0,0,0,0,0,0,0,0,1
18.3,1.14,55,0,17.63,1.19,27.5,0,17.61,0.95,28.5,0,11.7,1.27,40,95,1,0,0,0,0,0,0,0,0,0,0,1
17.62,1,55,0,17.62,0.96,27.5,0,17.87,1.21,28.5,0,11.66,1.26,40,95,1,0,0,0,0,0,0,0,0,0,0,1
17.62,0.99,55,0,17.97,1.07,27.5,0,17.68,0.95,28.5,0,11.69,1.22,40,95,1,0,0,0,0,0,0,0,0,0,0,1
17.68,1,55,0,17.68,0.93,27.5,0,17.95,0.97,28.5,0,11.7,1.27,40,95,1,0,0,0,0,0,0,0,0,0,0,1
18.14,0.95,55,0,17.68,1.57,27.5,0,17.65,1.1,28.5,0,10.22,1.27,40,85,1,0,0,0,0,0,0,0,0,0,0,1
17.75,0.93,55,0,18.02,1.42,27.5,0,18.37,0.96,28.5,0,10.23,1.26,40,85,1,0,0,0,0,0,0,0,0,0,0,1
17.62,0.92,55,0,17.62,0.92,27.5,0,17.82,1.15,28.5,0,10.23,1.26,40,85,1,0,0,0,0,0,0,0,0,0,0,1
18.21,0.98,55.5,0,17.88,1.01,27.5,0,17.65,1.33,28.5,0,10.23,1.27,40,85,1,0,0,0,0,0,0,0,0,0,0,1
17.75,0.91,55.5,0,17.73,1.29,27.5,0,17.88,0.92,29,0,10.23,1.28,40,85,1,0,0,0,0,0,0,0,0,0,0,1
17.66,0.93,55.5,0,17.61,1.05,27.5,0,17.61,1.1,29,0,10.24,1.24,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
17.67,0.93,55.5,0,17.86,1.25,27.5,0,17.63,0.92,28.5,0,10.22,1.23,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
17.85,1.32,55.5,0,17.62,1.09,27.5,0,17.78,0.93,28.5,0,10.24,1.25,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
17.63,1.57,55.5,0,17.62,0.92,27.5,0,17.7,0.95,29,0,10.23,1.27,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
17.62,1.31,55.5,0,18.16,0.93,27.5,0,17.71,1,29,0,10.22,1.26,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
17.88,0.92,60,0,17.62,1.1,27.5,0,17.96,1.13,28.5,0,10.23,1.26,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
17.63,1.01,60,0,17.62,1.07,27.5,0,17.64,0.91,28.5,0,10.2,1.26,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
18.38,1.29,60,0,17.65,1.47,27.5,0,17.68,0.93,29,0,10.23,1.26,40.5,85,1,0,0,0,0,0,0,0,0,0,0,1
